1,west coast marine
2,west coast marine
3,tropical savanna
4,tropical savanna
5,mediterranean
6,wet equatorial
7,wet equatorial
8,wet equatorial
9,continental subarctic
10,continental subarctic
11,humid subtropical
12,humid subtropical
13,tropical savanna
14,tropical savanna
15,temperature marine
16,temperature marine
17,humid midlatitude
18,desert (hot arid)
19,desert (hot arid)
20,desert (hot arid)
21,semi arid midlatitude
22,semi arid midlatitude
23,desert (hot arid)
24,desert (hot arid)
25,semi arid high altitude
26,semi arid high altitude
27,mediterranean
28,west coast marine
29,humid subtropical
30,humid subtropical
31,humid subtropical
32,mediterranean
33,mediterranean
34,mediterranean
35,mediterranean
36,tropical savanna
37,tropical savanna
38,west coast marine
39,west coast marine
40,west coast marine
41,wet equatorial
42,wet equatorial
43,humid midlatitude
44,mediterranean
45,mediterranean
46,mediterranean
47,hot arid
48,hot arid
49,tropical savanna
50,tropical savanna
51,tropical savanna
52,tropical savanna
